name,line1,line2
STARLINK-1008,1 44714U 19074B   25287.07828019  .00000045  00000+0  21936-4 0  9993,2 44714  53.0528 124.7813 0001286  89.0418 271.0718 15.06404349326652
STARLINK-1010,1 44716U 19074D   25287.33335648  .00324050  00000+0  11256-2 0  9992,2 44716  53.0469  59.7823 0002530  84.9399  62.5155 15.88040064  6014
STARLINK-1011,1 44717U 19074E   25287.33335648  .00219215  00000+0  12872-2 0  9994,2 44717  53.0487 115.3738 0004285 158.7998   6.5122 15.77100733  5821
STARLINK-1012,1 44718U 19074F   25287.25522411 -.00001790  00000+0 -10133-3 0  9990,2 44718  53.0530 123.9888 0001464  97.1575 262.9581 15.06399521326678
STARLINK-1017,1 44723U 19074L   25287.05269569  .00036962  00000+0  20662-2 0  9990,2 44723  53.0511 122.4255 0005031 121.4028 238.7457 15.13155816326682
STARLINK-1019,1 44724U 19074M   25287.05247426  .00000335  00000+0  41405-4 0  9994,2 44724  53.0528 124.9003 0001767  94.3618 265.7573 15.06404209326644
STARLINK-1020,1 44725U 19074N   25287.12435864  .00001021  00000+0  87435-4 0  9994,2 44725  53.0527 144.5776 0001398  86.0634 274.0515 15.06403280326372
STARLINK-1029,1 44734U 19074X   25287.57959697  .01096973  82162-3  80982-3 0  9991,2 44734  53.0451 333.0920 0005287  19.6067 340.5171 16.15074028328797
STARLINK-1031,1 44736U 19074Z   25287.26937276  .00119923  00000+0  26381-2 0  9997,2 44736  53.0521 118.0004 0009390 131.5487 228.6325 15.43057836326771
STARLINK-1036,1 44741U 19074AE  25286.88845159 -.00000799  00000+0 -34719-4 0  9996,2 44741  53.0554 145.6362 0001365 100.1666 259.9477 15.06405548326345
